#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090202 140354.885;6;;;;;Sommital;0;0;WGS84;VF
20090202 184916.828;39;;;;;Sommital;0;0;WGS84;VF
20090202 185145.571;3;;;;;Sommital;0;0;WGS84;VF
20090202 191429.828;8;;;;;Sommital;0;0;WGS84;VF
20090202 204146.828;5;;;;;Sommital;0;0;WGS84;VF
20090202 205247.800;4;;;;;Sommital;0;0;WGS84;VF
20090202 210229.942;4;;;;;Sommital;0;0;WGS84;VF
20090202 210237.914;4;;;;;Sommital;0;0;WGS84;VF
20090202 210247.657;4;;;;;Sommital;0;0;WGS84;VF
20090202 224619.257;14;;;;;Sommital;0;0;WGS84;VF
20090202 225753.285;6;;;;;Sommital;0;0;WGS84;VF
20090202 230552.85;4;;;;;Sommital;0;0;WGS84;VF
20090203 005646.771;4;;;;;Sommital;0;0;WGS84;PHK
20090203 013321.742;5;;;;;Sommital;0;0;WGS84;PHK
20090203 041720.85;2;;;;;Sommital;0;0;WGS84;PHK
20090203 041940.457;43;;;;;Effondrement;0;0;WGS84;PHK
20090203 045115.314;3;;;;;Sommital;0;0;WGS84;PHK
20090203 045137.0;50;;;;;Sommital;0;0;WGS84;PHK
20090203 053825.771;10;;;;;Sommital;0;0;WGS84;PHK
20090203 062112.657;3;;;;;Sommital;0;0;WGS84;PHK
20090203 062143.752;158;;;;;Effondrement;0;0;WGS84;PHK
20090203 092317.457;6;;;;;Sommital;0;0;WGS84;PHK
20090203 092421.171;12;;;;;Sommital;0;0;WGS84;PHK
20090203 094834.457;4;;;;;Sommital;0;0;WGS84;PHK
20090203 154748.57;2;;;;;Sommital;0;0;WGS84;PHK
20090203 155745.257;3;;;;;Sommital;0;0;WGS84;PHK
20090203 161005.914;11;;;;;Sommital;0;0;WGS84;PHK
20090203 162216.685;11;;;;;Sommital;0;0;WGS84;PHK
20090203 163617.371;8;;;;;Sommital;0;0;WGS84;PHK
20090203 182420.457;2;;;;;Sommital;0;0;WGS84;PHK
20090203 221403.314;7;;;;;Sommital;0;0;WGS84;PHK
20090203 233536.628;10;;;;;Sommital;0;0;WGS84;PHK
20090204 020605.285;3;;;;;Sommital;0;0;WGS84;PHK
20090204 035949.885;2;;;;;Sommital;0;0;WGS84;PHK
20090204 043856.399;3;;;;;Sommital;0;0;WGS84;PHK
20090204 051239.742;3;;;;;Sommital;0;0;WGS84;PHK
20090204 082536.37;48;;;;;Effondrement;0;0;WGS84;PHK
20090204 090714.657;20;;;;;Sommital;0;0;WGS84;PHK
20090204 092031.971;3;;;;;Sommital;0;0;WGS84;PHK
20090204 092710.57;4;;;;;Sommital;0;0;WGS84;PHK
