NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
ESCF,43.078,-0.574,0.57,OMPT,1978/01/05,01:12:27.0,1995/12/01,00:52:50.0
ISSF,43.028,-0.795,1.21,OMPT,1978/01/05,01:12:26.0,1999/09/26,05:40:16.0
MADF,43.146,-0.819,0.535,OMPT,1978/01/05,01:12:26.0,1999/09/26,05:39:33.0
MTES,40.403,-7.537,0,LDGS,1978/02/17,02:35:40.0,1978/02/17,02:37:14.0
IARE,43.086,-0.7,0,LDGS,1978/02/17,02:34:21.0,1985/12/14,06:17:30.0
CESL,43.402,-0.532,0.22,STR,1978/02/17,02:34:26.0,1997/12/06,20:33:03.0
ONF,43.095,-0.716,0.03,PAR,1978/06/11,08:28:08.0,1986/05/07,11:03:12.0
LAGL,43.406,-0.665,0.19,STR,1978/09/18,18:14:44.0,1997/12/06,20:33:02.0
MONL,43.433,-0.651,0.1,STR,1978/09/18,18:14:44.0,1997/12/06,20:33:02.0
BOH,43.102,-1.012,1.15,OMPT,1978/11/03,06:38:45.0,1997/09/26,00:36:03.0
LHE,42.913,-0.621,1.07,OMPT,1978/11/19,11:32:08.0,1997/11/16,03:04:21.0
AYD,43.089,-0.771,0,LDGS,1978/11/21,08:14:11.0,1978/11/21,08:14:17.0
IASA,43.129,-0.632,0,LDGS,1978/11/21,08:14:10.0,1978/11/21,08:14:12.0
IAT1,42.986,-0.636,0,LDGS,1978/11/21,08:14:10.0,1978/11/21,08:14:14.0
IAUS,43.138,-0.953,0,LDGS,1978/11/21,08:14:14.0,1978/11/21,08:14:14.0
IBAR,43.19,-0.773,0,LDGS,1978/11/21,08:14:12.0,1978/11/21,08:14:18.0
IBEC,43.184,-0.477,0,LDGS,1978/11/21,08:14:09.0,1978/11/21,08:14:11.0
ICHO,43.011,-0.751,0,LDGS,1978/11/21,08:14:11.0,1978/11/21,08:14:17.0
IETC,43.083,-0.888,0,LDGS,1978/11/21,08:14:13.0,1978/11/21,08:14:13.0
ISEN,42.992,-0.812,0,LDGS,1978/11/21,08:14:12.0,1978/11/21,08:14:18.0
ISPE,43.18,-0.672,0,LDGS,1978/11/21,08:14:11.0,1978/11/21,08:14:11.0
ITU1,43.066,-0.609,0,LDGS,1978/11/21,08:14:09.0,1978/11/21,08:14:13.0
IBIE,43.051,-0.453,0,LDGS,1978/11/21,08:14:08.0,1980/03/05,04:02:14.0
IFLO,43.102,-0.507,0,LDGS,1978/11/21,08:14:08.0,1980/03/07,10:15:10.0
ILOU,43.102,-0.186,0,LDGS,1978/11/21,08:14:10.0,1982/12/15,00:45:56.0
ES1,43.307,-1.213,0,LDGS,1978/11/21,08:14:10.0,1982/12/16,19:34:54.0
IBED,43.018,-0.605,0,LDGS,1978/11/21,08:14:09.0,1982/12/31,20:42:20.0
MAUS,43.211,-0.866,0,LDGS,1978/11/21,08:14:13.0,1982/12/31,20:42:30.0
SOU,44.661,5.69,0.96,LDG,1978/11/21,08:14:11.0,1985/10/21,04:30:32.0
ROF,47.681,6.901,0.5,STR,1979/01/19,15:20:25.0,1987/10/28,23:49:31.0
OGE,43.168,-0.473,0.44,OMPT,1979/05/10,05:01:54.0,1998/01/19,06:44:10.0
SQD,41.983,2.523,0,LDGS,1979/05/24,19:47:39.0,1985/12/16,15:28:55.0
JAU,43.038,-0.369,1.545,OMPT,1979/08/27,19:18:38.0,1999/09/26,05:39:31.0
