#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20140525 195359.40;3,8;;;;;Effondrement;;0;WGS84;PHK
20140525 190314.24;3,32;;;;;Effondrement;;0;WGS84;PHK
20140525 185854.36;5,32;;;;;Effondrement;;0;WGS84;PHK
20140525 180834.12;3,44;;;;;Effondrement;;0;WGS84;PHK
20140525 174621.56;3,16;;;;;Effondrement;;0;WGS84;PHK
20140525 165341.44;5,08;;;;;Effondrement;;0;WGS84;PHK
20140525 153355.80;4,84;;;;;Effondrement;;0;WGS84;PHK
20140525 140056.60;5;;;;;Effondrement;;0;WGS84;PHK
20140525 123218.08;5,28;;;;;Effondrement;;0;WGS84;PHK
20140525 111058.40;3,84;;;;;Effondrement;;0;WGS84;PHK
20140525 102528.84;4,56;;;;;Effondrement;;0;WGS84;PHK
20140525 094611.76;6,36;;;;;Effondrement;;0;WGS84;PHK
20140525 092244.08;3,08;;;;;Effondrement;;0;WGS84;PHK
20140525 082153.20;4,4;;;;;Effondrement;;0;WGS84;PHK
20140525 075915.72;5,68;;;;;Effondrement;;0;WGS84;PHK
20140525 040606.56;4,56;;;;;Effondrement;;0;WGS84;PHK
20140525 032840.52;5,72;;;;;Effondrement;;0;WGS84;PHK
20140525 030529.24;4,16;;;;;Effondrement;;0;WGS84;PHK
20140525 023651.48;5,48;;;;;Effondrement;;0;WGS84;PHK
20140525 011400.08;2,96;;;;;Effondrement;;0;WGS84;PHK
20140525 010159.88;5,12;;;;;Effondrement;;0;WGS84;PHK
20140525 005615.72;2,68;;;;;Effondrement;;0;WGS84;PHK
20140525 001933.24;5,6;;;;;Effondrement;;0;WGS84;PHK
20140525 001832.04;4,12;;;;;Effondrement;;0;WGS84;PHK
20140525 001443.00;3,6;;;;;Effondrement;;0;WGS84;PHK
20140524 225049.08;5,4;;;;;Effondrement;;0;WGS84;PHK
20140524 224728.40;5,24;;;;;Effondrement;;0;WGS84;PHK
20140524 212352.40;5,36;;;;;Effondrement;;0;WGS84;PHK
20140524 212202.96;6,6;;;;;Effondrement;;0;WGS84;PHK
20140524 204019.80;3,32;;;;;Effondrement;;0;WGS84;PHK
20140524 195337.24;4,28;;;;;Effondrement;;0;WGS84;PHK
20140524 193450.40;3,32;;;;;Effondrement;;0;WGS84;PHK
20140524 182235.32;5,48;;;;;Effondrement;;0;WGS84;PHK
20140524 180843.24;28,84;2.2712976;55.289703;-20.727343;26.277073;Local;2014/05/24/ovpf2014kcqw;1;WGS84;VF
20140524 180339.56;4,16;;;;;Effondrement;;0;WGS84;PHK
20140524 175006.16;6,4;;;;;Effondrement;;0;WGS84;PHK
20140524 174254.44;3,28;;;;;Effondrement;;0;WGS84;PHK
20140524 173824.32;3,88;;;;;Effondrement;;0;WGS84;PHK
20140524 154717.44;4,8;;;;;Effondrement;;0;WGS84;PHK
20140524 140705.36;5,4;;;;;Effondrement;;0;WGS84;PHK
20140524 140343.48;5,44;;;;;Effondrement;;0;WGS84;PHK
20140524 125717.32;6,72;;;;;Effondrement;;0;WGS84;PHK
20140524 121827.24;4,52;;;;;Effondrement;;0;WGS84;PHK
20140524 114202.12;4;;;;;Effondrement;;0;WGS84;PHK
20140524 095702.40;138,56;;;;;Teleseisme;;0;WGS84;PHK
20140524 053207.00;5,56;;;;;Effondrement;;0;WGS84;PHK
20140524 052444.32;18,88;1.9683387;55.533363;-21.210167;27.987891;Local;2014/05/24/ovpf2014kbrq;1;WGS84;PHK
20140524 024709.72;5,88;;;;;Effondrement;;0;WGS84;PHK
20140524 020855.44;7,92;;;;;Effondrement;;0;WGS84;PHK
20140523 233741.36;3,2;;;;;Effondrement;;0;WGS84;PHK
20140523 161255.20;4,6;;;;;Effondrement;;0;WGS84;PHK
20140523 150913.92;4,28;;;;;Effondrement;;0;WGS84;PHK
20140523 143353.28;20,8;;;;;Effondrement;;0;WGS84;PHK
20140523 143331.96;8,96;;;;;Effondrement;;0;WGS84;PHK
20140523 104825.96;6,6;;;;;Effondrement;;0;WGS84;PHK
20140523 104240.72;8,8;;;;;Effondrement;;0;WGS84;PHK
20140523 103740.80;7,12;;;;;Effondrement;;0;WGS84;PHK
20140523 100323.44;30,56;3.007492;55.204304;-21.154924;10;Effondrement;2014/05/23/ovpf2014kafi;0;WGS84;VF
20140523 092004.36;7,68;;;;;Effondrement;;0;WGS84;PHK
20140523 080825.36;16,64;;;;;Effondrement;;0;WGS84;PHK
20140523 080440.72;3,72;;;;;Effondrement;;0;WGS84;PHK
20140523 080305.20;5,72;;;;;Effondrement;;0;WGS84;PHK
20140523 070542.12;15,48;2.9826227;55.478626;-20.582365;5;Effondrement;2014/05/23/ovpf2014jzzm;0;WGS84;PHK
20140523 055103.32;6,48;;;;;Effondrement;;0;WGS84;PHK
20140523 053044.16;10,56;;;;;Effondrement;;0;WGS84;PHK
20140523 042910.92;8,44;;;;;Effondrement;;0;WGS84;PHK
20140523 033717.76;5,88;;;;;Effondrement;;0;WGS84;PHK
20140523 033546.60;5,8;;;;;Effondrement;;0;WGS84;PHK
20140523 031206.20;3,76;;;;;Effondrement;;0;WGS84;PHK
20140523 012127.52;6;;;;;Effondrement;;0;WGS84;PHK
20140523 005756.52;7;;;;;Effondrement;;0;WGS84;PHK
20140523 003501.96;11,36;;;;;Effondrement;;0;WGS84;PHK
20140522 233055.32;5,2;;;;;Effondrement;;0;WGS84;PHK
20140522 232341.00;7,44;;;;;Effondrement;;0;WGS84;PHK
20140522 221842.60;3,36;;;;;Sommital;;0;WGS84;PHK
20140522 220120.20;5,72;;;;;Effondrement;;0;WGS84;PHK
20140522 195224.52;5,68;0.97211314;55.516911;-21.003891;16.677734;Local;2014/05/22/ovpf2014jzdg;1;WGS84;VF
20140522 191937.32;3,24;;;;;Effondrement;;0;WGS84;PHK
20140522 184327.44;5,68;;;;;Effondrement;;0;WGS84;PHK
20140522 175214.92;4,92;;;;;Effondrement;;0;WGS84;PHK
20140522 172743.16;4,64;0.44253779;55.711082;-21.242399;-0.93265625;Sommital;2014/05/22/ovpf2014jyym;1;WGS84;VF
20140522 171622.80;5,12;;;;;Effondrement;;0;WGS84;PHK
20140522 171318.84;6,6;;;;;Effondrement;;0;WGS84;PHK
20140522 163357.28;3,64;;;;;Effondrement;;0;WGS84;PHK
20140522 145149.00;5,4;;;;;Effondrement;;0;WGS84;PHK
20140522 130421.84;44,4;;;;;Effondrement;;0;WGS84;PHK
20140522 125102.56;3,56;;;;;Effondrement;;0;WGS84;PHK
20140522 124545.36;3;;;;;Effondrement;;0;WGS84;PHK
20140522 122540.36;5,36;;;;;Effondrement;;0;WGS84;PHK
20140522 115048.56;4,8;;;;;Effondrement;;0;WGS84;PHK
20140522 114531.76;6,2;;;;;Effondrement;;0;WGS84;PHK
20140522 112619.12;4,84;;;;;Effondrement;;0;WGS84;PHK
20140522 111241.32;6,68;;;;;Effondrement;;0;WGS84;PHK
20140522 101001.64;42,12;;;;;Effondrement;;0;WGS84;PHK
20140522 100927.80;1,92;;;;;Effondrement;;0;WGS84;PHK
20140522 084552.21;6,2;;;;;Effondrement;;0;WGS84;PHK
20140522 082941.53;3,64;;;;;Effondrement;;0;WGS84;PHK
20140522 080031.70;7,16;;;;;Effondrement;;0;WGS84;PHK
20140522 064112.11;5,04;;;;;Effondrement;;0;WGS84;PHK
20140522 062231.22;2,88;;;;;Effondrement;;0;WGS84;PHK
20140522 061927.90;7,55;;;;;Effondrement;;0;WGS84;PHK
20140522 030842.97;12,51;;;;;Effondrement;;0;WGS84;PHK
20140522 012618.91;3,56;;;;;Sommital;;0;WGS84;PHK
20140522 012551.77;3,08;;;;;Effondrement;;0;WGS84;PHK
20140522 010949.33;6,44;;;;;Effondrement;;0;WGS84;PHK
20140522 010615.23;3,76;;;;;Effondrement;;0;WGS84;PHK
20140522 010222.19;8,59;;;;;Effondrement;;0;WGS84;PHK
20140522 004528.70;85,34;;;;;Effondrement;;0;WGS84;PHK
20140521 233918.67;6,4;;;;;Effondrement;;0;WGS84;PHK
20140521 232115.19;3,2;;;;;Effondrement;;0;WGS84;PHK
20140521 224038.33;5;;;;;Effondrement;;0;WGS84;PHK
20140521 224011.19;4;;;;;Effondrement;;0;WGS84;PHK
20140521 220358.64;4,6;;;;;Effondrement;;0;WGS84;PHK
20140521 204025.54;5,08;;;;;Effondrement;;0;WGS84;PHK
20140521 195434.74;4,88;;;;;Effondrement;;0;WGS84;PHK
20140521 194338.97;5,28;;;;;Effondrement;;0;WGS84;PHK
20140521 190027.58;2,12;;;;;Effondrement;;0;WGS84;PHK
20140521 185057.12;5,16;;;;;Effondrement;;0;WGS84;PHK
20140521 183506.24;23,46;;;;;Effondrement;;0;WGS84;PHK
20140521 182105.04;10,19;;;;;Effondrement;;0;WGS84;PHK
20140521 173022.07;13,91;;;;;Effondrement;;0;WGS84;PHK
20140521 171520.19;14,11;1.4924757;55.714072;-21.242872;-0.32988281;Sommital;2014/05/21/ovpf2014jxcp;1;WGS84;PHK
20140521 163336.38;5,16;;;;;Effondrement;;0;WGS84;VF
20140521 161141.33;2,28;;;;;Effondrement;;0;WGS84;PHK
20140521 151147.09;7,63;;;;;Effondrement;;0;WGS84;PHK
20140521 143532.14;6,04;;;;;Effondrement;;0;WGS84;PHK
20140521 125837.10;4;;;;;Effondrement;;0;WGS84;PHK
20140521 115040.97;7,28;;;;;Effondrement;;0;WGS84;PHK
20140521 113127.58;5,2;;;;;Effondrement;;0;WGS84;PHK
20140521 111400.52;5,16;;;;;Effondrement;;0;WGS84;PHK
20140521 094138.85;5,8;;;;;Effondrement;;0;WGS84;PHK
20140521 091512.15;3,32;;;;;Effondrement;;0;WGS84;PHK
20140521 083145.97;5,44;;;;;Effondrement;;0;WGS84;PHK
20140521 080402.08;3,32;;;;;Effondrement;;0;WGS84;PHK
